problem,variant,best,mean,std,median,worst
F1,default,197.15612526658873,3011.2531150209516,2586.9870967572233,2280.1718432959806,12233.038364643087
F1,role_fractions_low,681.8682406335873,220600.6757606788,880560.4466922674,6145.904845630419,4700070.626438184
F1,role_fractions_high,76.8602051266094,3153.808072036126,4204.061593718158,1351.961951048232,15922.369869679562
F1,theta0_low,225.24164836874064,3046.4582324327425,2821.1141681758795,1804.2760813722753,10828.76198803006
F1,theta0_high,132.74823601345247,2473.0035150297495,1954.416034391404,1760.8593377742304,7689.542978726287
F1,castling_period_low,163.3164787880059,3891.947373601852,4096.155747039524,2987.7513518672517,19850.999468609225
F1,castling_period_high,140.32881164865796,3716.6161134707745,3036.861353784059,3300.2864169841214,12760.414276265978
F1,stall_break_low,197.15612526658873,3011.2531150209516,2586.9870967572233,2280.1718432959806,12233.038364643087
F1,stall_break_high,197.15612526658873,3011.2531150209516,2586.9870967572233,2280.1718432959806,12233.038364643087
F1,pin_max_low,51.892272988050706,3185.3490416218656,2564.0504796522996,2340.1648081786957,10679.551915571743
F1,pin_max_high,368.820377202317,3402.576365879563,3273.715378257882,2716.8910015982556,16663.10547147844
F4,default,133.34695531944294,228.8863431430507,42.151190300254605,223.6571142397363,327.3628619526082
F4,role_fractions_low,239.8122731728331,427.8173451634994,117.36320022605834,409.45450401633315,754.3783800796439
F4,role_fractions_high,70.85204413348794,156.83089993283417,36.80846885549104,150.86337224243937,237.19639534395446
F4,theta0_low,137.31342435058195,256.04880023049714,74.56016140382513,248.26767446621363,467.6398852252821
F4,theta0_high,137.3323310702615,230.90992032426723,65.33402046334854,230.85613104527692,382.07601215109685
F4,castling_period_low,134.35523188712148,249.00767476691888,59.91205808227379,243.28284092741825,384.05836974198473
F4,castling_period_high,144.28277507145458,239.81554138128848,59.31186157941125,235.34962436725766,340.2851073372424
F4,stall_break_low,133.35415776373577,221.18919788913396,42.78677385840565,218.9185913227857,316.4103085981444
F4,stall_break_high,133.34353389272997,228.8830576299366,42.15096442286606,223.65372908382756,327.3600659789522
F4,pin_max_low,87.6586663131186,252.0226021904803,66.36999952010468,248.77780560347594,429.505091331637
F4,pin_max_high,82.62873361593654,228.79363999877378,78.27573070434748,216.90728243614956,440.7767881299377
F13,default,18337.716006860428,221195.1632295636,186785.98661991127,130268.92170589052,668459.6123500172
F13,role_fractions_low,36856.58486799967,463628.94521307515,345132.3160729084,377679.7829558293,1194576.6217657067
F13,role_fractions_high,19892.059805676116,171045.928887482,170732.25799849912,109301.17565907835,680597.3224451012
F13,theta0_low,31562.222732478192,169315.57029825434,181331.47106600562,108812.20087672414,740979.0132009358
F13,theta0_high,20281.377466266495,174354.4818948213,198058.80256245274,130334.2770461886,995318.3400862862
F13,castling_period_low,17391.18173096058,262952.71343318647,319149.680392932,153914.09575566807,1522284.4122785928
F13,castling_period_high,32169.287441425768,144470.2265733971,81637.56044575185,120881.99995655246,434700.39827996044
F13,stall_break_low,29341.85944382981,194096.87939284949,171181.056021174,123160.88201391815,668459.6123500172
F13,stall_break_high,18337.716006860428,225795.65866122188,192059.20949487292,130268.92170589052,668459.6123500172
F13,pin_max_low,33803.711785747684,196721.73369638933,181564.27081317356,160572.7786165661,717578.891336191
F13,pin_max_high,26601.813712919895,238796.40634988635,191375.58571737332,196280.9609836056,910943.7869425857
F22,default,200.58103302048949,314.47599278648244,210.48124871607052,201.90341324219276,853.3551128107915
F22,role_fractions_low,201.32663704788592,332.8889905875878,268.49440091151337,204.55519099736784,1134.510557866662
F22,role_fractions_high,100.30987685248328,268.0002486535165,132.45053761647128,200.33452538698043,532.3972633127405
F22,theta0_low,200.35598485568335,321.78756071574355,206.871849479875,201.2908705038601,863.3240601435764
F22,theta0_high,200.37707590811397,352.95508648907094,235.62925130176254,201.4153836383755,810.4835698442116
F22,castling_period_low,200.22581280099666,292.2793623673663,170.77578394158718,201.07728627439678,753.0405639051705
F22,castling_period_high,200.48370166872155,272.9669087659596,145.1642319279164,201.65105211665605,653.5054083088589
F22,stall_break_low,200.58015762704463,314.12709952077546,209.73286755928925,201.90341324219276,853.3551128107915
F22,stall_break_high,200.58103302048949,314.4733845673729,210.4762028461166,201.90341324219276,853.3551128107915
F22,pin_max_low,200.5260367386577,279.9694604244854,157.11573548243544,201.78890355984436,633.4099812546629
F22,pin_max_high,200.3396128610998,259.10096339436996,133.81585579410594,201.13979794136185,700.6468043013656
WeldedBeam,default,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036
WeldedBeam,role_fractions_low,1.7248528007812884,1.855646503044534,0.15515712389046415,1.7891616255323206,2.197175904906276
WeldedBeam,role_fractions_high,1.7248518623963367,1.724862059538545,3.751020703411738e-05,1.7248520581723064,1.725038080433058
WeldedBeam,theta0_low,1.724851863894498,1.7563657908162709,0.06411486165358093,1.7248912423847416,1.9848903210118776
WeldedBeam,theta0_high,1.7248518754273663,1.7446438905083597,0.056731099791394096,1.7248603918168302,2.0086700720017854
WeldedBeam,castling_period_low,1.7248518766634289,1.7937348545707696,0.10886276607800212,1.7255399542873218,2.0617507790363705
WeldedBeam,castling_period_high,1.7248519412990053,1.7721091208655677,0.10126987414081154,1.7254609025145762,2.127912018296728
WeldedBeam,stall_break_low,1.7248520246386938,1.7466834475099582,0.05328786591145445,1.7249850045245019,1.9433470018953678
WeldedBeam,stall_break_high,1.7248518676535998,1.7821872656078375,0.10828266911940565,1.7249501653766854,2.12829628838532
WeldedBeam,pin_max_low,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036
WeldedBeam,pin_max_high,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036
BerthP2,default,6277.891453515784,7934.15069165209,973.8484531785042,8023.719331043905,10257.827108025049
BerthP2,role_fractions_low,6190.920007507189,8993.323259013068,2798.5906623505252,8146.810513684586,19302.642287091552
BerthP2,role_fractions_high,5674.961151806705,7814.208037322348,993.8006044647788,7693.12634399411,10276.329864091236
BerthP2,theta0_low,6585.800081505697,8280.684847630568,1714.5279960628368,8132.422844104638,16565.60707848217
BerthP2,theta0_high,6176.087448022321,8490.692592800797,1643.1546891216612,8098.328323660021,13676.949761041426
BerthP2,castling_period_low,5532.014368681684,7947.828034786323,2012.161928020143,7501.471975997016,17071.510182218262
BerthP2,castling_period_high,6588.815419367041,8439.819223672568,2093.816166578708,7681.762088467948,14508.359474499197
BerthP2,stall_break_low,6277.891453515784,8323.918925339702,2799.113389063665,8023.719331043905,22680.837735249024
BerthP2,stall_break_high,6277.891453515784,7934.15069165209,973.8484531785042,8023.719331043905,10257.827108025049
BerthP2,pin_max_low,6206.311479814055,8101.479798490897,1161.5346174200167,7944.111779972298,11714.118195442818
BerthP2,pin_max_high,6070.821052238423,8000.884982929548,1455.6890647197727,7901.729561872851,13665.078557933895
